"taxon","evolvedTemp","currentTemp","competition","replicate","y0","y0_se","r","r_se","alpha","alpha_se","pseudo_r2","converged","n_iter","n_obs","y0_at_bound","r_at_bound","alpha_at_bound"
"Protist","25","25","TRUE","7",14.9999889607715,NA,0.0911909708974324,NA,0.000167252547495988,NA,0.532966720565965,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","7",14.9999592487216,NA,0.226752059370667,NA,0.000471716629778528,NA,0.282549747484299,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","30","TRUE","7",14.9999852287543,NA,0.0900746969342887,NA,9.86954642237077e-05,NA,0.319197083874514,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","7",14.9999911181994,NA,0.119622232993853,NA,0.000190060118038053,NA,0.62193057276675,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","8",14.9999995351645,NA,0.0432631433874579,NA,3.86601657072715e-05,NA,0.739049866714593,TRUE,NA,16,TRUE,TRUE,TRUE
"Protist","25","30","FALSE","8",8.60849368025265,NA,0.217121421473446,NA,0.000304443789926072,NA,0.462631657214747,TRUE,NA,16,FALSE,FALSE,FALSE
"Protist","25","25","TRUE","8",14.9999950990714,NA,0.0912098182258864,NA,0.000137377907531367,NA,0.691907724995618,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","8",14.9999859654637,NA,0.0767607653548613,NA,0.000127126518869161,NA,0.708237016986135,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","8",14.9999866816201,NA,0.095657976297106,NA,0.000120306287791848,NA,0.537350541583711,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","8",14.9999555779636,NA,0.0844917375465011,NA,0.000119495058745733,NA,0.372149989561496,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","9",14.9999902217729,NA,0.0886471157434711,NA,8.41981100786742e-05,NA,0.569261582468087,TRUE,NA,16,TRUE,FALSE,TRUE
