image_name,area_px
30_3.MP4.00_01_17_24.Still008__det0__cls1__crop00425_Simple Segmentation.tiff,3578
30_3.MP4.00_01_20_18.Still009__det0__cls1__crop00426_Simple Segmentation.tiff,2825
30_3.MP4.00_01_32_09.Still012__det0__cls1__crop00429_Simple Segmentation.tiff,6594
30_3.MP4.00_01_48_28.Still015__det0__cls1__crop00431_Simple Segmentation.tiff,4788
30_3.MP4.00_01_51_16.Still016__det0__cls1__crop00433_Simple Segmentation.tiff,4180
30_3.MP4.00_01_51_16.Still016__det1__cls1__crop00434_Simple Segmentation.tiff,2601
30_3.MP4.00_01_56_02.Still017__det1__cls1__crop00435_Simple Segmentation.tiff,6392
30_3.MP4.00_02_01_26.Still019__det0__cls1__crop00438_Simple Segmentation.tiff,5659
30_3.MP4.00_02_01_26.Still019__det3__cls1__crop00439_Simple Segmentation.tiff,4266
30_4.MP4.00_00_47_04.Still006__det0__cls1__crop00443_Simple Segmentation.tiff,4415
30_4.MP4.00_01_09_05.Still008__det0__cls1__crop00445_Simple Segmentation.tiff,3172
30_4.MP4.00_01_49_21.Still012__det0__cls1__crop00446_Simple Segmentation.tiff,4701
30_4.MP4.00_02_00_01.Still015__det1__cls1__crop00449_Simple Segmentation.tiff,3638
30_4.MP4.00_02_35_20.Still020__det0__cls1__crop00453_Simple Segmentation.tiff,3615
30_5.MP4.00_00_23_04.Still002__det0__cls1__crop00459_Simple Segmentation.tiff,6346
30_5.MP4.00_00_46_15.Still004__det0__cls1__crop00461_Simple Segmentation.tiff,4290
30_5.MP4.00_00_48_29.Still005__det0__cls1__crop00462_Simple Segmentation.tiff,3037
30_5.MP4.00_01_45_17.Still016__det1__cls1__crop00473_Simple Segmentation.tiff,3496
30_5.MP4.00_02_29_16.Still027__det0__cls1__crop00482_Simple Segmentation.tiff,4432
30_5.MP4.00_02_29_16.Still027__det1__cls1__crop00483_Simple Segmentation.tiff,2949
30_5.MP4.00_02_29_16.Still027__det2__cls1__crop00484_Simple Segmentation.tiff,3288
30_5.MP4.00_02_32_15.Still028__det0__cls1__crop00486_Simple Segmentation.tiff,3560
30_5.MP4.00_02_32_15.Still028__det4__cls1__crop00488_Simple Segmentation.tiff,4604
